Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
Test5	1	standard	PIX	ba_base_pix.avi	2	Medium	1.999
Test5	2	oddball	PIX	ba_redu_pix.avi	2	Medium	1.581
Test5	3	oddball	PL	ba_redu_pl.avi	2	Medium	1.885
Test5	4	oddball	PL	ba_redu_pl.avi	1	Strong	2.076
Test5	5	standard	PIX	ba_base_pix.avi	1	Strong	2.479
Test5	6	standard	PL	ba_base_pl.avi	2	Medium	2.955
Test5	7	standard	AV	ba_base_face.avi	1	Strong	1.770
Test5	8	oddball	PL	ba_redu_pl.avi	2	Medium	2.818
Test5	9	oddball	AV	ba_redu_face.avi	2	Medium	2.090
Test5	10	oddball	PIX	ba_redu_pix.avi	3	Weak	2.214
Test5	11	standard	PIX	ba_base_pix.avi	3	Weak	1.820
Test5	12	standard	AV	ba_base_face.avi	1	Strong	1.730
Test5	13	standard	PL	ba_base_pl.avi	1	Strong	1.562
Test5	14	standard	PIX	ba_base_pix.avi	2	Medium	1.975
Test5	15	oddball	PIX	ba_redu_pix.avi	2	Medium	1.663
Test5	16	oddball	PL	ba_redu_pl.avi	2	Medium	0.001
Test5	17	oddball	PL	ba_redu_pl.avi	2	Medium	1.395
Test5	18	oddball	PIX	ba_redu_pix.avi	2	Medium	1.515
Test5	19	oddball	PIX	ba_redu_pix.avi	3	Weak	1.766
Test5	20	standard	PIX	ba_base_pix.avi	4	No B	1.777
Test5	21	oddball	PL	ba_redu_pl.avi	4	No B	1.648
Test5	22	standard	AV	ba_base_face.avi	3	Weak	1.625
Test5	23	oddball	AV	ba_redu_face.avi	2	Medium	1.333
Test5	24	oddball	AV	ba_redu_face.avi	2	Medium	1.696
Test5	25	standard	AV	ba_base_face.avi	3	Weak	1.846
Test5	26	standard	AV	ba_base_face.avi	3	Weak	1.989
Test5	27	standard	PL	ba_base_pl.avi	3	Weak	1.659
Test5	28	oddball	AV	ba_redu_face.avi	3	Weak	1.557
Test5	29	oddball	PL	ba_redu_pl.avi	3	Weak	1.599
Test5	30	standard	PIX	ba_base_pix.avi	3	Weak	1.514
Test5	31	standard	PL	ba_base_pl.avi	3	Weak	1.552
Test5	32	standard	PL	ba_base_pl.avi	3	Weak	1.462
Test5	33	oddball	AV	ba_redu_face.avi	3	Weak	1.291
Test5	34	oddball	PIX	ba_redu_pix.avi	3	Weak	1.304
Test5	35	oddball	PL	ba_redu_pl.avi	3	Weak	1.527
Test5	36	standard	AV	ba_base_face.avi	3	Weak	1.225
Test5	37	standard	AV	ba_base_face.avi	2	Medium	1.774
Test5	38	standard	PL	ba_base_pl.avi	1	Strong	1.499
Test5	39	standard	PIX	ba_base_pix.avi	1	Strong	1.511
Test5	40	oddball	AV	ba_redu_face.avi	3	Weak	1.710
Test5	41	standard	PL	ba_base_pl.avi	2	Medium	1.532
Test5	42	standard	PIX	ba_base_pix.avi	1	Strong	1.621
Test5	43	standard	PL	ba_base_pl.avi	2	Medium	1.504
Test5	44	oddball	PIX	ba_redu_pix.avi	3	Weak	1.653
Test5	45	oddball	PIX	ba_redu_pix.avi	3	Weak	1.780
Test5	46	standard	AV	ba_base_face.avi	2	Medium	1.530
Test5	47	oddball	AV	ba_redu_face.avi	2	Medium	1.397
Test5	48	oddball	AV	ba_redu_face.avi	2	Medium	1.610
Test5	49	standard	AV	ba_base_face.avi	2	Medium	1.561
Test5	50	oddball	PL	ba_redu_pl.avi	3	Weak	1.624
Test5	51	oddball	PIX	ba_redu_pix.avi	3	Weak	1.477
Test5	52	standard	PL	ba_base_pl.avi	4	No B	1.793
Test5	53	standard	PIX	ba_base_pix.avi	2	Medium	1.996
Test5	54	oddball	AV	ba_redu_face.avi	3	Weak	1.752
